Unnamed: 0;hierarchy;code_full;code;label;description;point;Niveau 1;Niveau 2;Niveau 3;Niveau 4;Niveau 5;Niveau 6;Niveau 7;Tags;x;y
10;Abattage / hygiène de l'abattage / Abattoir - Processus;01.52_v2, E, PRZ-E 15;PRZ-E 15;Hygiène personnelle Manipulation hygiénique des Dal;"
Exigences
- Le personnel travaille de manière à ne pas contaminer les DAl.
";https://agriculture.ld.admin.ch/inspection/57A74BCEB4F61D05E0532D0E870A0EAF;Abattoir - Processus;hygiène de l'abattage;Abattage;;;;;Abattage, Hygiène, Abattoir, Manipulation, Personnel, Contamination;-7.909718;-1.9493086
11;Abattage / hygiène de l'abattage / Abattoir - Processus;01.52_v2, E, PRZ-E 16;PRZ-E 16;Fux de marchandises et de personnes;"
Exigences
- Les flux de marchandises et de personnes ne présentent pas de risque de contamination pour les DAl.
";https://agriculture.ld.admin.ch/inspection/57A74BCEB4F71D05E0532D0E870A0EAF;Abattoir - Processus;hygiène de l'abattage;Abattage;;;;;Abattage, Hygiène, Abattoir, Contamination;-6.723397;-4.1581097
12;Abattage / hygiène de l'abattage / Abattoir - Processus;01.52_v2, E, PRZ-E 02;PRZ-E 02;Pas de contamination croisée, pas de souillures par les SPA;"
Exigences
- Les carcasses et les abats ne doivent pas entrer en contact avec les sols, les murs et les plates-formes ;
- Les récipients qui contiennent des carcasses ou des abats ne doivent pas entrer en contact direct avec le sol ;
- Pas de contamination de la viande par l'eau d'échaudage ;
- L'abattoir veille à ce que les carcasses et les parties d'un animal n'entrent pas en contact avec les parties d'autres animaux avant la fin du CV ;
";https://agriculture.ld.admin.ch/inspection/57A74BCEB91B1D05E0532D0E870A0EAF;Abattoir - Processus;hygiène de l'abattage;Abattage;;;;;Abattage, Hygiène, Abattoir, Contamination, Carcasses, Abats;-9.706782;0.21450783
13;Abattage / hygiène de l'abattage / Abattoir - Processus;01.52_v2, E, PRZ-E 08;PRZ-E 08;Séparation des abattages;"
Exigences
- L'abattage du bétail de boucherie malade a lieu à un autre moment ou dans un autre local que celui des autres animaux ;
- Si l'abattage d'animaux malades ou suspectés de maladie ne peut être effectué dans des abattoirs spécialement prévus à cet effet ou effectué à d'autres moments que les abattages ordinaires, il faut prévoir un local d'abattage sanitaire (GA) ;
- Les postes de travail et les équipements doivent être nettoyés et désinfectés après l'abattage de bétail de boucherie malade ;
- L'abattage d'animaux d'espèces différentes dans le même établissement doit être séparé dans l'espace ou dans le temps. Lorsque plus d'une chaîne d'abattage fonctionnent dans le même local, leur séparation adéquate doit être assurée pour éviter une contamination croisée ;
- Les opérations doivent être séparées dans l'espace ou dans le temps ;
- Si dans le local où s'effectuent l'échaudage, l'épilage, le grattage et le brûlage des porcs, des animaux d'autres espèces sont abattus en même temps, l'emplacement servant à ces opérations doit être séparé par un espace de 5 m au moins ou par une cloison d'au moins 3 m de haut.
";https://agriculture.ld.admin.ch/inspection/57A74BCEB91C1D05E0532D0E870A0EAF;Abattoir - Processus;hygiène de l'abattage;Abattage;;;;;Abattage, Hygiène, Abattoir, Séparation, Nettoyage, Désinfection;-9.273005;1.009068
14;Abattage / hygiène de l'abattage / Abattoir - Processus;01.52_v2, E, PRZ-E 14;PRZ-E 14;Ordre et propreté garantis;"
Exigences
- L'ordre garantit le bon déroulement des processus de travail ;
- Les souillures sont régulièrement éliminées.
";https://agriculture.ld.admin.ch/inspection/57A74BCEB91D1D05E0532D0E870A0EAF;Abattoir - Processus;hygiène de l'abattage;Abattage;;;;;abattage, hygiène, abattoir, ordre, propreté, souillures;-5.7963257;-0.94584364
15;Abattage / hygiène de l'abattage / Abattoir - Processus;01.52_v2, E, PRZ-E 11;PRZ-E 11;MRS entièrement retiré (ovins et caprins);"
Exigences
- MRS : le cerveau non extrait de la boîte crânienne, les yeux, la moelle épinière avec la dure-mère (Dura mater) d'ovins et de caprins âgés de plus de 12 mois ou chez lesquels une incisive permanente a percé la gencive ;
- La base du cerveau ne doit pas être détruite après l'étourdissement (« tringlage ») ;
- Le MRS doit être éliminé directement après l'abattage comme SPA de catégorie 1 conformément à l'art. 22 OSPA. La moelle épinière peut également être éliminée comme SPA de catégorie 1 seulement après la découpe dans l'atelier de découpe, si elle provient de carcasses non fendues.
";https://agriculture.ld.admin.ch/inspection/C7430070839F4DFA8D7C7B4ECA53AD55;Abattoir - Processus;hygiène de l'abattage;Abattage;;;;;Abattage, Hygiène, Abattoir, Ovins, Caprins, MRS;-15.579887;10.334577
16;Abattoir - Autocontrôle;01.53_v2, +;;Autres aspects Autocontrôle;;https://agriculture.ld.admin.ch/inspection/57A74BCEB34C1D05E0532D0E870A0EAF;Abattoir - Autocontrôle;;;;;;;abattoir, autocontrôle;-12.286206;-1.2482562
17;Abattoir - Infrastructure;01.51_v2, +;;Autres aspects Infrastructure;;https://agriculture.ld.admin.ch/inspection/57A74BCEC7311D05E0532D0E870A0EAF;Abattoir - Infrastructure;;;;;;;abattoir, infrastructure;-9.541439;4.6803284
18;Abattoir - Processus;01.52_v2, +;;Autres aspects Processus;;https://agriculture.ld.admin.ch/inspection/57A74BCEB4CE1D05E0532D0E870A0EAF;Abattoir - Processus;;;;;;;abattoir, processus;-12.079852;-0.66813684
19;Abeilles: Hygiène dans la production primaire;01.2_83_v2, 02;02;Les produits apicoles sont récoltés et traités de façon règlementaire.;"
Rempli si: 
Le miel est récolté et traité de façon règlementaire.

Alimentation en eau de l’établissement
L’établissement doit disposer d’eau potable en quantité suffisante afin d’éviter des contaminations par le biais de l’eau.

Production de miel
Les abeilles doivent être nourries de telle sorte qu’il n’y ait si possible aucun sucre contenu dans leur alimentation qui se retrouve dans le miel qu’elles produisent.

Récolte et traitement du miel
Le miel doit être récolté dans des conditions permettant de préserver tout l’arôme du miel et d’éviter que les enzymes et d’autres éléments biologiques ne soient détruits.
a)	Il doit en outre être exempt de corps étrangers et d’impuretés. Utiliser peu de fumée lors du contrôle des hausses et lors du retrait des rayons de miel 
b)	La production de miel est éloignée de toute source de contamination’
c)	Passer uniquement des rayons ne contenant pas de couvains dans l’extracteur. Celui-ci ne doit pas être accessible aux abeilles.
d)	L’état de tous les appareils et de toutes les installations doit être irréprochable. Ils doivent également être propres et adaptés aux denrées alimentaires, et résister à l’acidité (acier inoxydable, verre ou plastique par exemple).
e)	Avant son conditionnement, le miel est filtré à l’aide d’une passoire à fines mailles. Lors de cette étape, le pollen ne doit pas être retiré.
f)	Durant la production, la récolte et l’extraction et le conditionnement du miel, aucune substance étrangère ne peut être ajoutée au miel et aucun composant du miel ne peut en être retiré.
Ne pas surchauffer le miel lors du processus d’extraction et de conditionnement. Si le miel a été surchauffé, il doit être désigné comme « miel de pâtisserie » ou « miel industriel ». La mention « destiné exclusivement à la cuisson » doit être associée à la dénomination spécifique Les produits chimiques utilisés pour le nettoyage et la désinfection doivent être utilisés conformément aux instructions du fabricant afin d’éviter toute contamination des denrées alimentaires.
";https://agriculture.ld.admin.ch/inspection/57A74BCEB0FA1D05E0532D0E870A0EAF;Abeilles: Hygiène dans la production primaire;;;;;;;apiculture, production primaire, hygiène, récolte, traitement, miel;-30.341753;1.7241839
20;Abeilles: Hygiène dans la production primaire;01.2_83_v2, 03;03;Le miel est stocké de façon règlementaire;"
Rempli si: 
Le miel est stocké de façon règlementaire. 

Le miel doit être entreposé dans un endroit frais, sec et sombre. Les locaux de stockage ne doivent pas être accessibles aux abeilles.

Emballages du miel 
Les matériaux de conditionnement et d’emballage ne doivent pas être une source de contamination pour les denrées alimentaires. Ils doivent également être propres et adaptés aux denrées alimentaires, et résister à l’acidité (acier inoxydable, verre ou plastique par exemple).
";https://agriculture.ld.admin.ch/inspection/57A74BCEB0FB1D05E0532D0E870A0EAF;Abeilles: Hygiène dans la production primaire;;;;;;;stockage, réglementation, emballage, hygiène, production primaire;-30.318798;1.7427
21;Abeilles: Hygiène dans la production primaire;01.2_83_v2, 04;04;Le type, la quantité et les destinataires du miel sont documentés;"
Remplie si 
La documentation est disponible

L'exploitant doit être en mesure de fournir des renseignements sur la nature, la quantité et l'acquéreur des produits primaires.
a) Documents à l'appui (bulletins de livraison/factures)
b) Délai de conservation de 3 ans
c) Cette exigence ne s'applique pas lorsque les produits sont vendus directement aux consommateurs ou à des commerces locaux pratiquant la vente au détail.
";https://agriculture.ld.admin.ch/inspection/57A74BCEB0FC1D05E0532D0E870A0EAF;Abeilles: Hygiène dans la production primaire;;;;;;;Abeilles, Hygiène, Production primaire, Miel, Documentation, Exploitant;-30.035482;1.5772004
22;Abeilles: Hygiène dans la production primaire;01.2_83_v2, 01;01;L'innocuité des rayons à miel est garantie et ils sont stockés dans un endroit propre, inodore et exempt d'organismes nuisibles.;"
Remplie si: 
Les rayons sont propres à la consommation et correctement stockés.

Les rayons de miel vides doivent être stockés dans un endroit exempt d'organismes nuisibles (fausses teignes, etc.). Les rayons contenant ou ayant contenu du couvain ne doivent pas être réutilisés pour la production de miel.

Possibilités de stockage :
a)	dans un local frais 
b)	dans un local sec et bien ventilé
";https://agriculture.ld.admin.ch/inspection/57A74BCEB7C81D05E0532D0E870A0EAF;Abeilles: Hygiène dans la production primaire;;;;;;;Hygiène, Stockage, Rayons, Abeilles, Production primaire;-30.34752;1.7992547
23;Abeilles: Hygiène dans la production primaire;01.2_83_v2, +;;Autres aspects concernant l'hygiène dans la production primaire;;https://agriculture.ld.admin.ch/inspection/57A74BCEB0F91D05E0532D0E870A0EAF;Abeilles: Hygiène dans la production primaire;;;;;;;hygiène, production primaire;-29.170399;-3.1627448
24;Abeilles: Médicaments vétérinaires;01.4_83_v3, 01;01;Seuls des MédV autorisés sont utilisés dans les ruchers.;"
1.	Seuls des médicaments vétérinaires (MédV) autorisés sont utilisés et ils sont utilisés correctement.
2.	Aucune substance interdite n’est utilisée.

•	Seuls des MédV autorisés en Suisse sont utilisés.
•	L’importation de MédV est réservée aux vétérinaires et elle est autorisée uniquement avec une autorisation délivrée par l’OSAV (art. 7 et ss., OMédV).
•	Seuls sont utilisés des MédV dont la date de péremption n’est pas encore échue.
•	Les médicaments destinés aux abeilles ne doivent pas provenir d’une reconversion. Cela signifie que pour le traitement des maladies (varroase), seuls les médicaments pour les abeilles autorisés en Suisse peuvent être utilisés.
•	Aucun MédV préparé selon une formule magistrale ne peut être prescrit, remis ou utilisé pour traiter des abeilles.

Lutte contre le varroa : tous les produits utilisés pour lutter contre l’acarien varroa doivent être autorisés comme MédV par Swissmedic. Les MédV autorisés à l’étranger ne peuvent être importés que par des vétérinaires.
";https://agriculture.ld.admin.ch/inspection/57A74BCEC41D1D05E0532D0E870A0EAF;Abeilles: Médicaments vétérinaires;;;;;;;Médicaments vétérinaires, Abeilles, Ruchers, Varroa, Autorisation, Importation;-81.21804;-0.5534061
25;Abeilles: Médicaments vétérinaires;01.4_83_v3, 02;02;Les MédV sont conservés correctement;"
Remplie si 
Tous les médicaments vétérinaires sont conservés de façon réglementaire.

Les médicaments vétérinaires doivent être
•	conservés dans des conditions hygiéniquement irréprochables,
•	conservés dans des conditions sûres
•	et classés.

Les personnes (enfants…) et les animaux (y compris les abeilles) non autorisés ne doivent pas pouvoir accéder aux MédV stockés.
Principes relatifs au stockage :
•	n’utiliser aucun récipient alimentaire
•	étiqueter distinctement chaque récipient (il est recommandé de conserver les récipients d’origine)
•	choisir des récipients incassables
•	veiller à ce que le local de stockage soit sec, bien ventilé et maintenu à une température optimale pour la conservation de tous les MédV.
";https://agriculture.ld.admin.ch/inspection/57A74BCEC41E1D05E0532D0E870A0EAF;Abeilles: Médicaments vétérinaires;;;;;;;,abeilles,stockage,conditions,étiquetage,température;-75.79644;0.36582443
26;Abeilles: Médicaments vétérinaires;01.4_83_v3, 03;03;L’utilisation des MédV est consignée dans un journal;"
Remplie si 
L’utilisation des MédV pour les colonies d’abeilles est consignée dans un registre. La tenue d’un registre comprend deux éléments :

a) le journal des traitements qui renseigne sur : 
•	l’identification de la colonie
•	la date de traitement
•	la dénomination commerciale du MédV, le type d’application et, le cas échéant, le diffuseur
•	le dosage ou la quantité
•	la restriction à la commercialisation de la denrée alimentaire collectée 
•	le fournisseur du MédV
b) la liste d’inventaire qui renseigne sur :
•	la date (d’achat ou, le cas échéant, d’élimination du produit)
•	la dénomination commerciale du médicament vétérinaire
•	la quantité dans un emballage
•	le fournisseur ou la personne qui reprend le MédV.

Le journal des traitements et la liste d’inventaire doivent être conservés pendant 3 ans.
Les restrictions à l’utilisation du MédV mentionnées dans la notice explicative sont respectées lors de la production du miel.
";https://agriculture.ld.admin.ch/inspection/57A74BCEC41F1D05E0532D0E870A0EAF;Abeilles: Médicaments vétérinaires;;;;;;;Médicaments vétérinaires, Abeilles, Registre, Traitements, Colonies, Apiculture;-72.88176;3.937824
27;Abeilles: Médicaments vétérinaires;01.4_83_v3, +;;Autres aspects concernant les médicaments vétérinaires;;https://agriculture.ld.admin.ch/inspection/57A74BCEC41C1D05E0532D0E870A0EAF;Abeilles: Médicaments vétérinaires;;;;;;;abeilles, médicaments vétérinaires;-63.172733;-2.7410414
28;Abeilles: Santé animale;02.1_83_v2, 01;01;Les colonies d’abeilles sont en bonne santé.;"
Remplie si 
Les colonies d’abeilles sont en bonne santé et présentent un développement et des réserves de nourriture correspondant à la colonie et à la saison.
Les colonies d’abeilles présentent des symptômes de maladies non soumises à l’annonce obligatoire, mais des mesures ad hoc ont été prises.

Les détenteurs doivent soigner correctement leurs animaux ; ils doivent prendre les mesures qui s’imposent pour les maintenir en bonne santé.

Les colonies d’abeilles en bonne santé
a)	sont actives et pleines de vitalité. Les effectifs doivent être conformes à la période de l’année
b)	doivent avoir du couvain à tous les stades, des larves ne présentant aucun symptôme de maladie et des rayons sans défaut dus à la maladie
c)	nettoient le sol des ruches
d)	ne présentent pas d’individus dont les ailes sont atrophiées
disposent de réserves de nourriture suffisantes.
";https://agriculture.ld.admin.ch/inspection/57A74BCEB1021D05E0532D0E870A0EAF;Abeilles: Santé animale;;;;;;;Santé animale, Abeilles, Colonies, Maladies, Nourriture;-32.858562;2.0554452
29;Abeilles: Santé animale;02.1_83_v2, 02;02;Les ruchers occupés et inoccupés sont entretenus de sorte à ne pas être une source d’épizootie.;"
Remplie si 
Les ruchers sont propres (visiblement bien nettoyés) et entretenus correctement. L'apiculteur prend les dispositions nécessaires pour éviter la propagation des épizooties.

Chaque apiculteur se doit de prendre toutes les dispositions nécessaires pour prévenir tout risque d’épizootie émanant de ses ruchers.

- Les ruches inoccupées sont nettoyées et fermées.
- Les stocks de rayons et d'aliments ne sont pas accessibles aux abeilles et aux nuisibles.
- Les surfaces horizontales à l'intérieur des ruches sont régulièrement nettoyées de manière sommaire et lavées.
- Les outils et les appareils sont nettoyés durant la journée de travail ou, au moins, au terme de celle-ci.
- Travailler de préférence avec des gants à usage unique ou, en cas d'utilisation multiple, nettoyez-les régulièrement. La tenue de travail de l'apiculteur doit être lavée à intervalle régulier.
- Les parties de rayons, les restes d'aliments et les bocaux et bidons à miel vides ne doivent pas être accessibles aux abeilles et aux nuisibles. 

Toute épizootie ou suspicion d'épizootie des abeilles doit être signalée sans tarder à l'inspecteur des ruchers. L'apiculteur doit prendre les mesures destinées à prévenir la propagation de l'épizootie (ne pas déplacer des abeilles) et les respecter jusqu'à connaissance de la cause du problème.
";https://agriculture.ld.admin.ch/inspection/57A74BCEB1031D05E0532D0E870A0EAF;Abeilles: Santé animale;;;;;;;Santé animale, Épizootie, Ruchers, Apiculteur, Prévention;-32.920643;2.2390194
30;Abeilles: Santé animale;02.1_83_v2, 03;03;Le parasite varroa est  combattu de manière efficace et les infections font l'objet d'une surveillance;"
La contamination par le varroa fait l’objet d’une surveillance et le varroa est combattu d’après un concept efficace.

a)	Savoir que la varroase est une épizootie à surveiller
b)	Contrôles réguliers à l’égard de la varroase
c)	Lutte avec des mesures appropriées
";https://agriculture.ld.admin.ch/inspection/57A74BCEB1041D05E0532D0E870A0EAF;Abeilles: Santé animale;;;;;;;Santé animale, Surveillance, Varroa, Lutte;-33.11763;1.1755567
31;Abeilles: Santé animale;02.1_83_v2, 04;04;"La surveillance clinique régulière des colonies d'abeilles quant à la loque améric. / europ. est assurée ; si suspicion, les mesures sont prises.";"
Remplie si:
L’apiculteur connaît les symptômes des deux formes (américaine et européenne) de la loque des abeilles ainsi que la procédure à suivre en cas de suspicion d’épizootie (obligation d’annoncer, prévenir la propagation) et sait comment l’appliquer.

a)	Épizooties à combattre  obligation d’annoncer à l’inspecteur des ruchers
b)	Empêcher la propagation jusqu’à ce que la suspicion d’épizootie soit clarifiée
c)	Principaux symptômes de la loque américaine des abeilles et de la loque européenne des abeilles connus
";https://agriculture.ld.admin.ch/inspection/57A74BCEB1051D05E0532D0E870A0EAF;Abeilles: Santé animale;;;;;;;Santé animale, Abeilles, Surveillance, Loque américaine, Loque européenne, Symptômes;-32.992004;1.8598325
32;Abeilles: Santé animale;02.1_83_v2, +;;Autres aspects concernant la santé animale;;https://agriculture.ld.admin.ch/inspection/57A74BCEB1011D05E0532D0E870A0EAF;Abeilles: Santé animale;;;;;;;santé animale, abeilles;-31.117193;-5.4031286
33;Abeilles: Trafic des animaux;02.2_83_v2, 01;01;L'apiculteur a enregistré correctement ses ruchers et chaque rucher est identifié dans les règles et de manière bien visible de l'extérieur.;"
Remplie si 
Enregistrement des apiculteurs/des ruchers Identification des ruchers
L'apiculteur et ses ruchers sont correctement enregistrés auprès du canton dans lequel les ruches sont situées. Le rucher est bien visible de l'extérieur et identifié à l'aide du numéro d'identification cantonal.

Un rucher est la somme de toutes les colonies d'abeilles situées à un même endroit.

Enregistrement et relevé annuel
L'apiculteur est tenu d'annoncer dans les 3 jours au canton dans lequel est situé son rucher:
' la date du début et de la fin de son activité d'apiculteur
' les changements de propriétaire.

Il doit pour cela indiquer ses coordonnées personnelles ainsi que le nombre et l'emplacement/les coordonnées des ruchers occupés et inoccupés.
Les emplacements d'hiver des apiculteurs itinérants sont enregistrés.
Chaque apiculteur se voit attribuer par le service cantonal un numéro d'identification cantonal (= numéro d'exploitation) et chaque rucher, un numéro de rucher.

Toutes les personnes qui possèdent des ruchers/des colonies d'abeilles et/ou des ruchers occupés ou inoccupés doivent par ailleurs renvoyer chaque année au service cantonal le formulaire « Relevé des ruchers » rempli en bonne et due forme.

Identification des ruchers
Bien visible de l'extérieur avec le numéro de rucher
";https://agriculture.ld.admin.ch/inspection/57A74BCEB15A1D05E0532D0E870A0EAF;Abeilles: Trafic des animaux;;;;;;;Enregistrement des apiculteurs/des ruchers, Identification des ruchers;-33.610413;2.955788
34;Abeilles: Trafic des animaux;02.2_83_v2, 02;02;Le registre des effectifs est tenu conformément aux prescriptions en vigueur;"
Remplie si 
Le registre des effectifs contient toutes les informations nécessaires et il est conservé pendant 3 ans.

Exigences relatives à la façon de tenir le registre des effectifs
' Mise à jour permanente de toutes les variations d'effectif, des emplacements et des dates de déplacement des colonies (par écrit)
' Utilisation du formulaire type de la Confédération ou d'un système électronique propre (pour autant qu'au moins toutes les données figurant sur le formulaire de la Confédération y soient consignées)
' Conservation pendant au moins 3 ans

Recommandation pour le registre des effectifs
' Afin de pouvoir mieux suivre l'évolution de l'épizootie, il est recommandé d'indiquer également les séparations de la colonie-mère, la formation de nouvelles colonies et la formation d'essaims artificiels dans le registre des effectifs.
";https://agriculture.ld.admin.ch/inspection/57A74BCEB8551D05E0532D0E870A0EAF;Abeilles: Trafic des animaux;;;;;;;Abeilles, Registre des effectifs, Colonies, Epizootie;-34.86973;3.7123985
35;Abeilles: Trafic des animaux;02.2_83_v2, +;;Autres aspects concernant le trafic des animaux;;https://agriculture.ld.admin.ch/inspection/57A74BCEB1591D05E0532D0E870A0EAF;Abeilles: Trafic des animaux;;;;;;;,trafic d'animaux;-32.69794;-7.7083735
